theater,url
강남,/theater?brchNo=1372
강남대로(씨티),/theater?brchNo=1359
강동,/theater?brchNo=1341
군자,/theater?brchNo=1431
동대문,/theater?brchNo=1003
마곡,/theater?brchNo=1572
목동,/theater?brchNo=1581
상봉,/theater?brchNo=1311
상암월드컵경기장,/theater?brchNo=1211
성수,/theater?brchNo=1331
센트럴,/theater?brchNo=1371
송파파크하비오,/theater?brchNo=1381
신촌,/theater?brchNo=1202
은평,/theater?brchNo=1221
이수,/theater?brchNo=1561
창동,/theater?brchNo=1321
코엑스,/theater?brchNo=1351
홍대,/theater?brchNo=1212
화곡,/theater?brchNo=1571
ARTNINE,/theater?brchNo=1562
고양스타필드,/theater?brchNo=4121
김포한강신도시,/theater?brchNo=4152
남양주,/theater?brchNo=4721
동탄,/theater?brchNo=4451
미사강변,/theater?brchNo=4652
백석,/theater?brchNo=4113
별내,/theater?brchNo=4722
부천스타필드시티,/theater?brchNo=4221
분당,/theater?brchNo=4631
수원,/theater?brchNo=4411
수원남문,/theater?brchNo=4421
시흥배곧,/theater?brchNo=4291
안산중앙,/theater?brchNo=4253
안성스타필드,/theater?brchNo=0020
양주,/theater?brchNo=4821
영통,/theater?brchNo=4431
용인기흥,/theater?brchNo=0012
용인테크노밸리,/theater?brchNo=4462
의정부민락,/theater?brchNo=4804
일산,/theater?brchNo=4111
일산벨라시타,/theater?brchNo=4104
킨텍스,/theater?brchNo=4112
파주금촌,/theater?brchNo=4132
파주운정,/theater?brchNo=4115
파주출판도시,/theater?brchNo=4131
평택,/theater?brchNo=4501
하남스타필드,/theater?brchNo=4651
검단,/theater?brchNo=4041
송도,/theater?brchNo=4062
영종,/theater?brchNo=4001
인천논현,/theater?brchNo=4051
청라지젤,/theater?brchNo=4043
공주,/theater?brchNo=3141
논산,/theater?brchNo=0018
대전,/theater?brchNo=3021
대전유성,/theater?brchNo=0009
대전중앙로,/theater?brchNo=3011
대전현대아울렛,/theater?brchNo=0017
세종(조치원),/theater?brchNo=3391
세종나성,/theater?brchNo=3392
세종청사,/theater?brchNo=0008
오창,/theater?brchNo=3631
제천,/theater?brchNo=3901
진천,/theater?brchNo=3651
천안,/theater?brchNo=3301
청주사창,/theater?brchNo=0013
충주,/theater?brchNo=3801
홍성내포,/theater?brchNo=3501
경북도청,/theater?brchNo=7602
경산하양,/theater?brchNo=7122
경주,/theater?brchNo=7801
구미강동,/theater?brchNo=7303
김천,/theater?brchNo=7401
남포항,/theater?brchNo=7901
대구(칠성로),/theater?brchNo=7022
대구신세계(동대구),/theater?brchNo=7011
대구이시아,/theater?brchNo=7012
덕천,/theater?brchNo=6161
마산,/theater?brchNo=6312
문경,/theater?brchNo=7451
부산극장,/theater?brchNo=6001
부산대,/theater?brchNo=6906
북대구(칠곡),/theater?brchNo=7021
삼천포,/theater?brchNo=6642
양산,/theater?brchNo=6261
양산라피에스타,/theater?brchNo=6262
울산,/theater?brchNo=6811
정관,/theater?brchNo=6191
창원,/theater?brchNo=6421
창원내서,/theater?brchNo=0014
해운대(장산),/theater?brchNo=6121
광주상무,/theater?brchNo=5021
광주하남,/theater?brchNo=5061
남원,/theater?brchNo=5901
목포하당(포르모),/theater?brchNo=5302
송천,/theater?brchNo=5612
순천,/theater?brchNo=5401
여수웅천,/theater?brchNo=5552
전대(광주),/theater?brchNo=0010
첨단,/theater?brchNo=5064
남춘천,/theater?brchNo=2001
속초,/theater?brchNo=2171
원주,/theater?brchNo=2201
원주센트럴,/theater?brchNo=2202
제주,/theater?brchNo=6901
